,run_time,user,text,favorite_count,retweet_count,created_at
37,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | SELL (Average)
Sat October, 09:00:11 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦943,435.567
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,218,365.506
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦198,608.356
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦21,879.462
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦741.488
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦741.309

 v1.0.6",50,15,2022-10-15 09:00:11+00:00
38,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | BUY (Average)
Sat October, 09:00:05 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦955,561.267
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,207,035.215
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦200,810.296
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦24,007.820
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦740.659
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦740.480

 v1.0.6",41,10,2022-10-15 09:00:05+00:00
39,2022-10-27 15:05:26.341246,naira_rates,"Fri October, 11:05:01 AM 

💵 1 USD &gt;&gt;&gt;&gt;&gt; ₦724.589
💷 1 GBP &gt;&gt;&gt;&gt;&gt; ₦819.622
💶 1 EUR &gt;&gt;&gt;&gt;&gt; ₦730.138

 v1.0.6",145,49,2022-10-14 11:05:01+00:00
40,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | SELL (Average)
Fri October, 09:00:08 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦974,505.664
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,478,065.396
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦201,928.806
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦22,949.121
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦740.026
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦739.712

 v1.0.6",61,20,2022-10-14 09:00:09+00:00
41,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | BUY (Average)
Fri October, 09:00:04 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦985,360.507
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,534,137.407
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦202,676.426
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦25,005.662
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦737.364
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦737.051

 v1.0.6",39,9,2022-10-14 09:00:04+00:00
42,2022-10-27 15:05:26.341246,naira_rates,"Thu October, 11:05:02 AM 

💵 1 USD &gt;&gt;&gt;&gt;&gt; ₦721.461
💷 1 GBP &gt;&gt;&gt;&gt;&gt; ₦807.394
💶 1 EUR &gt;&gt;&gt;&gt;&gt; ₦713.057

 v1.0.6",189,61,2022-10-13 11:05:02+00:00
43,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | SELL (Average)
Thu October, 09:00:10 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦939,950.226
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,095,591.139
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦195,611.175
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦21,780.958
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦738.842
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦738.834

 v1.0.6",51,13,2022-10-13 09:00:10+00:00
44,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | BUY (Average)
Thu October, 09:00:05 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦949,878.435
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,086,084.063
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦197,816.297
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦24,215.269
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦737.885
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦737.877

 v1.0.6",21,5,2022-10-13 09:00:05+00:00
45,2022-10-27 15:05:26.341246,naira_rates,"Wed October, 11:05:01 AM 

💵 1 USD &gt;&gt;&gt;&gt;&gt; ₦716.820
💷 1 GBP &gt;&gt;&gt;&gt;&gt; ₦805.641
💶 1 EUR &gt;&gt;&gt;&gt;&gt; ₦710.082

 v1.0.6",200,59,2022-10-12 11:05:01+00:00
46,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | SELL (Average)
Wed October, 09:00:10 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦954,544.758
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,134,823.506
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦200,155.565
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦22,656.919
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦737.740
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦737.869

 v1.0.6",43,6,2022-10-12 09:00:10+00:00
